project,cell_specimen_id,link_cell_specimen,cell_specimen_name,cell_or_cluster,hemisphere,flipped,link_slice_specimen,slice_histology_well,slice_biocytin_well,slide20x_barcode ,patched_cell_container,ephys_roi_result_id,recording_date,ephys_seal_gohm,tcp_sop,ephys_qc,rna_amplification_set,rna_amplification_qc,ephys_published_at,labtracks_id,reporters,drivers,cell_reporter,structure,cortex_layer,dendrite_type,apical,pin_z_coord,nwb_ready,has_nwb_download,image_series_20x_id,image_series_20x_qc,psw_20x_annotations,layer_20x_annotations,image_series_20x_tags,link_ims_20x,check_slide,ims63x_go_no_go,ims63x_imaging_started,image_series_63x_id,image_series_63x_qc,link_ims_63x,has_morph_thumb,has_inst_thres_thumb,has_sum_thumb,has_glif1,has_glif2,has_glif3,has_glif4,has_glif5,has_biophysical,has_active_dendrite,nwb_filename,swc_filename,marker_filename,swc_published_at,disease_state
T301x,626030127,http://lims2/specimens?id=626030127,Ai14-Homo-345920.02.01.01,Cell,left,flipped,http://lims2/specimens?search[name]=Ai14-Homo-345920.02.01,EPhys_170911_01_C02_M,BIOCYTIN_170919_01_C02,539038422,,626029916,9/14/2017 16:33,1.822171648,V1 Coronal 107,manual_passed,,,,345920,,,cre reporter negative,,,,,,,,638287456,qc,,,,http://lims2/focal_plane_image_series?id=638287456,,,,,,,,inst thres thumb,sum thumb,glif1,,glif3,,,,,,,,,
T301x,626059655,http://lims2/specimens?id=626059655,Ai14-Homo-345920.02.01.02,Cell,left,flipped,http://lims2/specimens?search[name]=Ai14-Homo-345920.02.01,EPhys_170911_01_C02_M,BIOCYTIN_170919_01_C02,539038422,,626059152,9/14/2017 17:02,1.257810176,V1 Coronal 107,manual_passed,,,,345920,,,cre reporter positive,,,,,,,,638287456,qc,,,,http://lims2/focal_plane_image_series?id=638287456,,,,,,,,inst thres thumb,sum thumb,glif1,,glif3,,,,,,,,,
T301x,626052681,http://lims2/specimens?id=626052681,Ai14-Homo-345920.03.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Ai14-Homo-345920.03.01,EPhys_170911_01_C03_M,BIOCYTIN_170919_01_C03,539038238,,626052661,9/14/2017 16:55,2.641910016,V1 Coronal 107,manual_failed,,,,345920,,,,,,,,,,,638287475,qc,,,,http://lims2/focal_plane_image_series?id=638287475,,,,,,,,,,,,,,,,,,,,,
T301x,626101195,http://lims2/specimens?id=626101195,Ai14-Homo-345920.04.01.01,Cell,left,flipped,http://lims2/specimens?search[name]=Ai14-Homo-345920.04.01,EPhys_170911_01_C04_M,BIOCYTIN_170919_01_C04,539038054,,626101151,9/14/2017 17:49,1.4353312,V1 Coronal 107,manual_passed,,,,345920,,,cre reporter positive,,,,,,,,638287501,qc,,,,http://lims2/focal_plane_image_series?id=638287501,,,,,,,,inst thres thumb,sum thumb,,,,,,,,,,,,
T301x,626104756,http://lims2/specimens?id=626104756,Ai14-Homo-345920.04.01.02,Cell,left,flipped,http://lims2/specimens?search[name]=Ai14-Homo-345920.04.01,EPhys_170911_01_C04_M,BIOCYTIN_170919_01_C04,539038054,,626104731,9/14/2017 18:13,3.364023552,V1 Coronal 107,manual_passed,,,,345920,,,cre reporter negative,,,,,,,,638287501,qc,,,,http://lims2/focal_plane_image_series?id=638287501,,,,,,,,inst thres thumb,sum thumb,,,,,,,,,,,,
T301x,626119708,http://lims2/specimens?id=626119708,Ai14-Homo-345920.04.01.03,Cell,left,flipped,http://lims2/specimens?search[name]=Ai14-Homo-345920.04.01,EPhys_170911_01_C04_M,BIOCYTIN_170919_01_C04,539038054,,626119679,9/14/2017 18:38,1.402529536,V1 Coronal 107,manual_passed,,,,345920,,,cre reporter positive,,,,,,,,638287501,qc,,,,http://lims2/focal_plane_image_series?id=638287501,,,,,,,,inst thres thumb,sum thumb,glif1,,glif3,,,,,,,,,
T301x,626124477,http://lims2/specimens?id=626124477,Ai14-Homo-345920.05.01.01,Cell,left,not flipped,http://lims2/specimens?search[name]=Ai14-Homo-345920.05.01,EPhys_170911_01_C05_M,BIOCYTIN_170919_01_C05,539037870,,626124366,9/14/2017 18:39,3.375129856,V1 Coronal 107,manual_passed,,,,345920,,,cre reporter negative,,,,,,,,638287522,qc,,,,http://lims2/focal_plane_image_series?id=638287522,,,,,,,,inst thres thumb,sum thumb,glif1,,glif3,,,,,,,,,
T301x,623858653,http://lims2/specimens?id=623858653,Ai14-Homo-345924.03.01.01,Cell,left,not flipped,http://lims2/specimens?search[name]=Ai14-Homo-345924.03.01,EPhys_170911_01_B03_M,BIOCYTIN_170919_01_B03,539039342,,623858356,9/13/2017 18:16,1.384041472,V1 Coronal 107,manual_failed,,,,345924,,,,,,,,,,,638287254,qc,,,,http://lims2/focal_plane_image_series?id=638287254,,,,,,,,,,,,,,,,,,,,,
T301x,623877510,http://lims2/specimens?id=623877510,Ai14-Homo-345924.03.01.02,Cell,left,not flipped,http://lims2/specimens?search[name]=Ai14-Homo-345924.03.01,EPhys_170911_01_B03_M,BIOCYTIN_170919_01_B03,539039342,,623877386,9/13/2017 18:55,3.886895872,V1 Coronal 107,manual_passed,,,,345924,,,cre reporter positive,,,,,,,,638287254,qc,,,,http://lims2/focal_plane_image_series?id=638287254,,,,,,,,inst thres thumb,sum thumb,glif1,,glif3,,,,,,,,,
T301x,623844001,http://lims2/specimens?id=623844001,Ai14-Homo-345924.04.01.01,Cell,left,flipped,http://lims2/specimens?search[name]=Ai14-Homo-345924.04.01,EPhys_170911_01_B02_M,BIOCYTIN_170919_01_B02,539036671,,623843604,9/13/2017 18:00,2.368696832,V1 Coronal 107,manual_failed,,,,345924,,,cre reporter positive,,,,,,,,638287233,qc,,,,http://lims2/focal_plane_image_series?id=638287233,,,,,,,,,,,,,,,,,,,,,
