project,cell_specimen_id,link_cell_specimen,cell_specimen_name,cell_or_cluster,hemisphere,flipped,link_slice_specimen,slice_histology_well,slice_biocytin_well,slide20x_barcode,patched_cell_container,ephys_roi_result_id,recording_date,ephys_seal_gohm,tcp_sop,ephys_qc,rna_amplification_set,rna_amplification_qc,ephys_published_at,labtracks_id,reporters,drivers,cell_reporter,structure,cortex_layer,dendrite_type,apical,pin_z_coord,nwb_ready,has_nwb_download,image_series_20x_id,image_series_20x_qc,psw_20x_annotations,layer_20x_annotations,image_series_20x_tags,link_ims_20x,check_slide,ims63x_go_no_go,ims63x_imaging_started,image_series_63x_id,image_series_63x_qc,link_ims_63x,has_morph_thumb,MorphologyThumbnail,HighResMorphologyThumbnail,has_inst_thres_thumb,has_sum_thumb,has_glif1,has_glif2,has_glif3,has_glif4,has_glif5,has_biophysical,has_active_dendrite,nwb_filename,swc_filename,marker_filename,swc_published_at,disease_state,mip_link,depth_from_pia,1_2_NA_objective
mIVSCC-MET,656440106,http://lims2/specimens?id=656440106,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-366183.04.02,EPhys_180102_01_B02_M,BIOCYTIN_180109_01_B02,500366853,P8S4_180103_351_A01,656440009,1/3/2018 23:25,1.913967488,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,366183,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,657483366,qc,,,,http://lims2/focal_plane_image_series?id=657483366,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656449594,http://lims2/specimens?id=656449594,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-366183.04.02,EPhys_180102_01_B02_M,BIOCYTIN_180109_01_B02,500366853,P8S4_180103_352_A01,656449579,1/3/2018 23:51,2.400468992,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,366183,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp,,,,,,,657483366,qc,,,,http://lims2/focal_plane_image_series?id=657483366,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717357554,http://lims2/specimens?id=717357554,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.02.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.02.01,EPhys_180702_03_B02_M,BIOCYTIN_180710_03_B02,535184505,PBS4_180706_501_A01,717357226,7/6/2018 17:08,1.173126784,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,,VISp2/3,,,,8148.854162,,,720318562,qc,,,,http://lims2/focal_plane_image_series?id=720318562,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717392579,http://lims2/specimens?id=717392579,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.02.01.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.02.01,EPhys_180702_03_B02_M,BIOCYTIN_180710_03_B02,535184505,PBS4_180706_502_A01,717392272,7/6/2018 17:39,1.575102208,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,,VISp4,,,,8734.397645,,,720318562,qc,,,,http://lims2/focal_plane_image_series?id=720318562,,,63x imaging started,734501166,image_qc_passed,http://lims2/focal_plane_image_series?id=734501166,,,,,,,,,,,,,,,,,,http://lims2/siv?sub_image=735601318,,
mIVSCC-MET,717412114,http://lims2/specimens?id=717412114,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.02.01.03,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.02.01,EPhys_180702_03_B02_M,BIOCYTIN_180710_03_B02,535184505,PBS4_180706_503_A01,717411692,7/6/2018 17:53,1.322240256,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,,VISp4,,,,8387.308168,,,720318562,qc,,,,http://lims2/focal_plane_image_series?id=720318562,,,,736093981,ready_for_dendrite_trace,http://lims2/focal_plane_image_series?id=736093981,,,,,,,,,,,,,,,,,,http://lims2/siv?sub_image=736586456,,
mIVSCC-MET,717502546,http://lims2/specimens?id=717502546,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.02.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.02.02,EPhys_180702_03_B04_M,BIOCYTIN_180710_03_B04,535184137,PBS4_180706_504_A01,717502270,7/6/2018 19:00,1.758330112,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,,VISp4,,,,8403.640865,,,720318619,qc,,,,http://lims2/focal_plane_image_series?id=720318619,,63x no go,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717561026,http://lims2/specimens?id=717561026,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.02.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.02.02,EPhys_180702_03_B04_M,BIOCYTIN_180710_03_B04,535184137,PBS4_180706_505_A01,717560422,7/6/2018 19:22,1.408431616,V1 Coronal 107,auto_failed,A8S4_180718_07,failed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,,VISp,,,,,,,720318619,qc,,,,http://lims2/focal_plane_image_series?id=720318619,,,,,,,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,717321001,http://lims2/specimens?id=717321001,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.03.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.03.01,EPhys_180702_03_A04_M,BIOCYTIN_180710_03_A04,539043007,P9S4_180706_401_A01,717320727,7/6/2018 16:40,1.4023744,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp2/3,,,,3534.759087,,,720318261,qc,,,,http://lims2/focal_plane_image_series?id=720318261,,63x go,63x imaging started,745680423,image_qc_passed,http://lims2/focal_plane_image_series?id=745680423,,,,,,,,,,,,,,,,,,http://lims2/siv?sub_image=744504668,,
mIVSCC-MET,717354644,http://lims2/specimens?id=717354644,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.03.01.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.03.01,EPhys_180702_03_A04_M,BIOCYTIN_180710_03_A04,539043007,P9S4_180706_402_A01,717354284,7/6/2018 17:01,1.585300736,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISp2/3,,,,3060.506608,,,720318261,qc,,,,http://lims2/focal_plane_image_series?id=720318261,,63x go,63x imaging started,754152761,image_qc_passed,http://lims2/focal_plane_image_series?id=754152761,,,,,,,,,,,,,,,,,,http://lims2/siv?sub_image=744531317,,
mIVSCC-MET,717376304,http://lims2/specimens?id=717376304,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.03.01.03,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-398664.03.01,EPhys_180702_03_A04_M,BIOCYTIN_180710_03_A04,539043007,P9S4_180706_403_A01,717375745,7/6/2018 17:23,3.21815296,V1 Coronal 107,auto_failed,A8S4_180718_07,passed,,398664,Ai65(RCFL-tdT),Calb2-IRES-Cre Sst-IRES-FlpO,positive,VISpm1,,,,4139.78896,,,720318261,qc,,,,http://lims2/focal_plane_image_series?id=720318261,,63x go,63x imaging started,743880207,image_qc_passed,http://lims2/focal_plane_image_series?id=743880207,,,,,,,,,,,,,,,,,,http://lims2/siv?sub_image=744502576,,
