Date,User,Rig #,File,Ephys,Trans,Morph,Pilot,Pilot Details,cell type,Slice on rig time,Time,Time to Entire-Cell,Region,Layer,Depth (um),Slice (Lims ID?),Slice health,cell health,Slice notes,extraction pressure applied (mbar),retraction pressure applied (mbar),Post patch?,Post patch pipette R,extraction.nucleus,extraction.extractionObservations,extraction.sampleObservations,extraction.extractionNotes,extraction.timeExtractionStart,extraction.timeExtractionEnd,extraction.timeRetractionEnd,recording.pipetteR,successNotes,qcNotes,acsfProductionDate,Tube_ID,"Biocytin
",Well ID #,Lims tube id,,Smarter_ID,Picogreen conc. (pg/uL),Picogreen yield (pg),BA total conc. (pg/uL),BA total yield (pg),BA total conc. (pg/uL),BA total yield (pg),Ratio >400/total,SM_QC,PCR cycles,>400 normalized to 21 pcr cycles,SM_QC_PF,Batch,Resolution index,Cluster,Genes detected,case,Notes,Date mapped,Max.node,Node.correlation,Max.leaf,Leaf.correlation,Max.node.is.leaf.,3-modality candidate,63x completed,Reconstructed (link),3-M example picked by JT,Ephys + transcriptomics example by JT,needs 63x image,prioritize for reconstruction (JT),prioritize for reconstruction (TB),"Mapped.node (20170202_MTG_exclH16_24_005_1, no glia)","Top.leaf (20170202_MTG_exclH16_24_005_1, no glia)",sdLGN,height,h.sdLGN,Resolution.index (to leaf),exp_component_name,cluster (20170619_MTG_patchseq),SdLGN (20170619_MTG_patchseq),Height (20170619_MTG_patchseq),H_SdLGN (20170619_MTG_patchseq),MarkerGenes_TopNode (20170619_MTG_patchseq),TopLeaf (20170619_MTG_patchseq),MaxLeafSdLGN (20170619_MTG_patchseq),cluster (20170619_MTG_patchseq),Score (20170627_MTG_patchseq),Height (20170627_MTG_patchseq),H_Score (20170627_MTG_patchseq),MarkerGenes_TopNode (20170627_MTG_patchseq),TopLeaf (20170627_MTG_patchseq),MaxLeafScore (20170627_MTG_patchseq),exp_component_name,Internal version,Takara RNAse inhibitor
160505,P5,,brl_160505_01,x,,na,,,Not determined,,2345,,Insula,Not determined,,H16.06.005x,,,,-45,,No-Seal,,,,,,3.5,,,5,,,,hr246,0.50%,Ephys_160502_02_B06_extraction_VER2,,,PSM050616.41,,,,,,,,fail,,,,,,,,brl_160505,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160505,P5,,brl_160505_02,x,,na,,,Not determined,,2359,,Insula,Not determined,,H16.06.005x,,,,-48,,Outside-Out,,,,,,4.5,,,5,,,,hr247,0.50%,,,,PSM050616.42,,,,,,,,fail,,,,,,,,brl_160505,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160505,P5,,brl_160505_03,x,,na,,,Not determined,,22,,Insula,3,,H16.06.005x,,,,-45,,Nucleated,,,,,,3.5,,,4.5,,,,hr248,0.50%,,,,PSM050616.43,,,,,,,,fail,,,,,,,,brl_160505,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160505,P5,,brl_160505_04,x,,na,,,Not determined,,47,,Insula,Not determined,,H16.06.005x,,,,-55,,Outside-Out,,,,,,4,,,,,,,hr249,0.50%,,,,PSM050616.44,,,,,,,,fail,,,,,,,,brl_160505,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160505,P5,,brl_160505_05,x,,na,,,Not determined,,106,,Insula,Not determined,,H16.06.005x,,,,-55,,Outside-Out,,,,,,4.5,,,,,,,hr250,0.50%,,,,PSM050616.45,,,,,,,,fail,,,,,,,,brl_160505,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,0.5
160509,P5,,brl_160509_01,x,,y,,,Not determined,,1622,,Right frontal,1,,H16.06.006.01.99,,,,-70,0,No-Seal,,,,,,2,,,4.8,,,,r440,0.50%,Ephys_160509_02_A04_extraction_VER2,,,PSM051216.01,,,,,,,,fail,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160509,P5,,brl_160509_02,x,x,y,,,Not determined,,1635,,Right frontal,2,,H16.06.006.01.99,,,,-75,0,Outside-Out,,,,,,4,,,4.2,,,,r441,0.50%,,,,PSM051216.02,,,,,,,,pass,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160509,P5,,brl_160509_03,x,x,y,,,Biapical Pyramidal,,1652,,Right frontal,3,,H16.06.006.01.99,,,,-80,0,Outside-Out,,,,,,3.5,,,4.2,,,,r442,0.50%,,P5S4_160509_r442_A01,P5S4_160509_r442_A01,PSM051216.03,,,,,,,,pass,,,,BT027,1,Exc L2-3 LINC00507 FREM3,7228,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,cl2_e1131_ACVR1C_L5b.Cdh13_L2.2,0.83,1,0.83,"COL21A1, TRIM36, CDK6, INPP4B, CNTN6, KRT17P1, MYO16, SNCG, LOC105373005, CA10, LGALS1, GULP1, AHNAK2, PTER, TRAF5, LOC100996635, SH3BGRL3, LINCR-0003, FSTL5, AFF2, ZNF804B, MIR4500HG, PLS3, CRIP2, MIEN1, NME1, LOC105375175",cl2_e1131_ACVR1C_L5b.Cdh13_L2.2,0.83,cl2_e1131_ACVR1C_L5b.Cdh13_L2.2,0.82,1,0.82,LOC105377390,cl2_e1131_ACVR1C_L5b.Cdh13_L2.2,0.82,PSX052617_E1-50_S30,AiV2,1
160509,P5,,brl_160509_04,x,x,n,,,Unknown interneuron,,1710,,Right frontal,4,,H16.06.006.01.99,,,,-75,0,Outside-Out,,,,,,4,,,3.5,,,,r443,0.50%,,,,PSM051216.04,,,,,,,,pass,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
160509,P5,,brl_160509_05,x,,n,,,Not determined,,1726,,Right frontal,5,,H16.06.006.01.99,,,,-80,0,Outside-Out,,,,,,4,,,3.8,,,,r444,0.50%,,,,PSM051216.05,,,,,,,,fail,,,,,,,,brl_160509,,12/20/2016,NA,NA,NA,NA,NA,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,AiV2,1
