Date,User,Rig #,File,Pilot,Pilot Details,cell type,Slice on rig time,Time,Time to Entire-Cell,Region,Layer,Depth (um),Slice (Lims ID?),Slice health,Cell Health,Slice notes,extraction pressure applied (mbar),retraction pressure applied (mbar),Post patch?,Post patch pipette R,Nucleus sucked in?,Notes,Time spent extracting cytosol,Time spent retracting pipette,patch duration,Pipette size (MOhm),Ephys notes,aCSF date,Internal version,Biocytin,Tube_ID,Well ID #,Lims tube id,Lims tube id,Smarter_ID,Picogreen conc. (pg/uL),Picogreen yield (pg),BA total conc. (pg/uL),BA total yield (pg),BA conc. <400 (pg/uL),BA conc. >400 (pg/uL),Ratio >400/total,SM_QC,PCR cycles,>400 normalized to 21 pcr cycles,SM_QC_PF,Batch,Resolution index,Cluster,Genes detected,Biocytin Well,Barcode,Atlas Region,distance to edge,Plate,20x status,20x LIMS link,,63x go no go,63x QC
180102,P8,4,Chat-IRES-Cre-neo;Ai14-365769.04.02.01,None,,Cre+,13:33,13:39,2.716666667,VISp,layer 2/3,62.7,Chat-IRES-Cre-neo;Ai14-365769.04.02,3,3,,-20,-20,nucleus_present,35,intentionally,"Cell Disappeared, No Bubbles,",0.816666667,2.233333333,7.95,4.6,Cell Depolarized,20170102,AiV2-50uM alexa 488,0.5,351,EPhys_180102_01_A03_M,P8S4_180102_351_A01,P8S4_180102_351_A01,,,,,,0,0,,,21,0,,RSC-139,0.898197,n74,5534,BIOCYTIN_180109_01_A03,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657481432,,63x go,deferred
180102,P8,4,Chat-IRES-Cre-neo;Ai14-365769.04.02.02,None,,Cre+,13:33,14:06,1.533333333,VISp,layer 2/3,40.1,Chat-IRES-Cre-neo;Ai14-365769.04.02,3,3,,-20,-20,nucleus_present,1000,no,"Fluorescence in Pipette,Cell Shrunk, No Bubbles, fill visible",0.716666667,1.966666667,7.916666667,3.9,,20170102,AiV2-50uM alexa 488,0.5,352,,P8S4_180102_352_A01,P8S4_180102_352_A01,,,,,,0,0,,,21,0,,RSC-139,0,n3,2986,BIOCYTIN_180109_01_A03,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657481432,,,
180102,P8,4,Chat-IRES-Cre-neo;Ai14-365769.05.02.01,None,,Cre+,14:36,14:54,3.283333333,VISp,layer 2/3,57.3,Chat-IRES-Cre-neo;Ai14-365769.05.02,2,3,,-20,-20,nucleus_present,1000,not_intentionally,"Fluorescence in Pipette, No Bubbles, plume",0.75,1.266666667,7.9,3.7,,20170102,AiV2-50uM alexa 488,0.5,353,EPhys_180102_01_A05_M,P8S4_180102_353_A01,P8S4_180102_353_A01,,,,,,0,0,,,21,0,,RSC-139,0.650698,n61,6886,BIOCYTIN_180109_01_A05,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657481721,,,
180102,P9,6,Pdyn-T2A-CreERT2;Ai14-366659.04.01.01,None,,Cre+,13:05,13:16,1.133333333,VISp,layer 5,44.4,Pdyn-T2A-CreERT2;Ai14-366659.04.01,3,2,Initial damage away from V1,-19.5,-19.5,nucleus_present,900,no,"Cell Dimmed,Cell Swelled, No Bubbles, Alexa fill visible
 
 Nucleated",0.416666667,1.733333333,8.616666667,4.4,"Patch/Cell Unstable,Patch Became Leaky",20170102,AiV2-50uM alexa 488,0.5,401,EPhys_180102_01_A01_M,P9S4_180102_401_A01,P9S4_180102_401_A01,,,,,,0,0,,,21,0,,RSC-139,1,Sst Hpse Sema3c,6475,BIOCYTIN_180109_01_A01,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657452180,,63x go,deferred
180102,P9,6,Chat-IRES-Cre-neo;Ai14-365769.03.01.01,None,,Cre+,13:45,13:55,1.183333333,VISp,layer 2/3,37.7,Chat-IRES-Cre-neo;Ai14-365769.03.01,2,2,only one labeled cell - other cells were too deep to patch,-19.2,-19.2,nucleus_present,1700,no,"Cell Dimmed,Cell Shrunk, No Bubbles, Alexa fill visible - cell shriveled; not a good fill
 
 Nucleated",0.533333333,1.35,8.566666667,4.1,"Patch/Cell Unstable,Access Resistance Increased",20170102,AiV2-50uM alexa 488,0.5,402,EPhys_180102_01_A02_M,P9S4_180102_402_A01,P9S4_180102_402_A01,,,,,,0,0,,,21,0,,RSC-139,1,Vip Rspo4 Rxfp1 Chat,5762,BIOCYTIN_180109_01_A02,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657479419,,63x no go,
180102,P9,6,Pdyn-T2A-CreERT2;Ai14-366659.05.01.01,None,,Cre+,14:28,14:34,1.083333333,VISp,layer 5,45.7,Pdyn-T2A-CreERT2;Ai14-366659.05.01,3,3,Initial damage away from V1,-19.5,-19.5,nucleus_present,1400,no,"Cell Dimmed,Cell Swelled, No Bubbles, Alexa fill visible
 
 Nucleated",0.716666667,1.433333333,8.25,3.4,Patch Became Leaky,20170102,AiV2-50uM alexa 488,0.5,403,EPhys_180102_01_A04_M,P9S4_180102_403_A01,P9S4_180102_403_A01,,,,,,0,0,,,21,0,,RSC-139,1,Sst Hpse Cbln4,6796,BIOCYTIN_180109_01_A04,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657481676,,63x go,ready_for_dendrite_trace
180103,PA,7,Pdyn-T2A-CreERT2;Ai14-366660.05.02.01,None,,Cre+,12:43,13:01,3.45,VISp,layer 2/3,32.9,Pdyn-T2A-CreERT2;Ai14-366660.05.02,3,3,,-27,-27,nucleus_present,1500,no,"Fluorescence in Pipette,Cell Dimmed,Cell Swelled, Medium Bubbles,",0.616666667,2.45,9.8,4.6,"Patch/Cell Unstable,Access Resistance Increased,Cell Hyperpolarized,Rheobase Changed,Ended After C1Very unstable recording",20170102,AiV2-50uM alexa 488,0.5,451,EPhys_180102_01_A06_M,PAS4_180103_451_A01,PAS4_180103_451_A01,,,,,,0,0,,,21,0,,RSC-139,0.868238,n107,5028,BIOCYTIN_180109_01_A06,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657482883,,63x no go,
180103,PA,7,Pdyn-T2A-CreERT2;Ai14-366660.04.02.01,None,,Cre+,14:34,14:56,4.25,VISp,layer 4,33.8,Pdyn-T2A-CreERT2;Ai14-366660.04.02,2,3,,-34,-34,nucleus_present,1500,no,"Fluorescence in Pipette,Cell Dimmed,Cell Swelled, No Bubbles, Nucleus was visible during extraction and nucleus was attached within 30 seconds of retraction.",0.716666667,1.433333333,9.083333333,5.3,"Cell Hyperpolarized,Ended After C120-21",20170102,AiV2-50uM alexa 488,0.5,452,EPhys_180102_01_B01_M,PAS4_180103_452_A01,PAS4_180103_452_A01,,,,,,0,0,,,21,0,,RSC-139,1,Sst Hpse Sema3c,4850,BIOCYTIN_180109_01_B01,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657483213,,63x go,deferred
180103,P8,4,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.01,None,,Cre+,15:23,15:30,1.766666667,VISp,layer 5,55.1,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02,3,4,,-23,-23,nucleus_absent,35,no,"Cell Disappeared, No Bubbles,",0.916666667,3.2,11.46666667,4.1,,20170102,AiV2-50uM alexa 488,0.5,351,EPhys_180102_01_B02_M,P8S4_180103_351_A01,P8S4_180103_351_A01,,,,,,0,0,,,21,0,,RSC-139,0.434669,n59,3135,BIOCYTIN_180109_01_B02,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657483366,,,
180103,P8,4,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.02,None,,Cre+,15:23,16:05,1.65,VISp,layer 4,45.1,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02,2,2,,-25,-25,nucleus_present,8.5,intentionally,"Fluorescence in Pipette,Cell Dimmed, No Bubbles,",1.7,2.5,10.16666667,4.9,,20170102,AiV2-50uM alexa 488,0.5,352,,P8S4_180103_352_A01,P8S4_180103_352_A01,,,,,,0,0,,,21,0,,RSC-139,0.467257,n88,5751,BIOCYTIN_180109_01_B02,500000000,,,,qc,http://lims2/focal_plane_image_series?id=657483366,,63x no go,
