,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
1,0.242,Fail,26.15842484,mIVSCC-MET,0.717450047,True
131,0.442,Fail,8.111177651,mIVSCC-MET,0.646747423,True
162,0.552,Fail,2.834967196,mIVSCC-MET,0.605926471,True
168,0.494,Fail,8.340050301,mIVSCC-MET,0.988111517,True
187,0.305,Fail,8.719504661,mIVSCC-MET,0.789138647,True
225,0.413,Fail,8.417286922,mIVSCC-MET,0.635759023,True
251,0.299,Fail,18.02927543,mIVSCC-MET,0.650082718,True
260,0.431,Fail,9.590686901,mIVSCC-MET,0.7313611059999999,True
274,0.295,Fail,25.27853923,mIVSCC-MET,0.684766187,True
283,0.48700000000000004,Fail,5.0711973519999995,mIVSCC-MET,0.6715873990000001,True
366,0.531,Fail,2.617578683,mIVSCC-MET,0.519871776,True
371,0.423,Fail,5.388825089,mIVSCC-MET,0.548980554,True
375,0.41200000000000003,Fail,15.45180161,mIVSCC-MET,0.423655124,True
467,0.307,Fail,33.46517206,mIVSCC-METx,1.060339882,True
507,0.235,Fail,34.65406533,mIVSCC-METx,0.849407426,True
514,0.349,Fail,17.33042223,mIVSCC-MET,0.826003974,True
577,0.48100000000000004,Fail,3.21321768,mIVSCC-MET,0.874837278,True
592,0.462,Fail,3.0108174169999997,mIVSCC-MET,0.454811223,True
654,0.331,Fail,3.484532777,mIVSCC-MET,0.566367087,True
663,0.498,Fail,5.215821002,mIVSCC-MET,0.8308173790000001,True
668,0.364,Fail,5.157902925,mIVSCC-MET,0.7747432009999999,True
670,0.44,Fail,5.716662391,mIVSCC-MET,0.842717189,True
685,0.514,Fail,1.9856889430000002,mIVSCC-MET,0.532766265,True
691,0.424,Fail,7.401630657,mIVSCC-MET,0.527343931,True
700,0.5710000000000001,Fail,3.654764176,mIVSCC-MET,0.680841446,True
702,0.637,Fail,4.070887234,mIVSCC-MET,0.524255759,True
759,0.541,Fail,3.3039210339999996,mIVSCC-MET,0.872564275,True
771,0.308,Fail,7.260648195,mIVSCC-MET,0.6611535270000001,True
836,0.478,Fail,4.777639367,mIVSCC-MET,0.799154367,True
859,0.469,Fail,3.911222897,mIVSCC-MET,0.795133579,True
902,0.35200000000000004,Fail,11.7523093,mIVSCC-MET,0.85263215,True
907,0.465,Fail,8.177481266000001,mIVSCC-MET,0.765737413,True
937,0.563,Fail,14.41021756,mIVSCC-MET,0.771146367,True
958,0.29,Fail,35.99568060000001,mIVSCC-MET,0.690215715,True
973,0.292,Fail,20.76003678,mIVSCC-MET,0.679617872,True
977,0.495,Fail,8.50365205,mIVSCC-MET,0.9639166309999999,True
993,0.415,Fail,14.79743085,mIVSCC-MET,0.8671077420000001,True
1044,0.365,Fail,12.20946008,mIVSCC-MET,1.078775129,True
1056,0.48,Fail,80.27286919,mIVSCC-METx,0.881711452,True
1078,0.336,Fail,10.70380717,mIVSCC-MET,0.5971745829999999,True
1085,0.275,Fail,22.97558276,mIVSCC-MET,0.759495758,True
1087,0.395,Fail,4.681032802,mIVSCC-MET,0.592201717,True
1095,0.49700000000000005,Fail,6.575174971,mIVSCC-MET,0.779072653,True
1104,0.332,Fail,9.818574635,mIVSCC-MET,0.6306310310000001,True
1107,0.507,Fail,10.08569487,mIVSCC-MET,0.7521263309999999,True
1110,0.47700000000000004,Fail,15.65639349,mIVSCC-MET,0.710794823,True
1116,0.217,Fail,21.47006002,mIVSCC-MET,0.640412399,True
1117,0.39799999999999996,Fail,8.531745264,mIVSCC-MET,0.800214828,True
1118,0.474,Fail,8.290232651,mIVSCC-MET,0.686849853,True
1126,0.635,Fail,4.479137325,mIVSCC-MET,0.525650369,True
1207,0.596,Fail,5.239295767,mIVSCC-MET,0.611840845,True
1212,0.38,Fail,14.15578715,mIVSCC-MET,0.613059122,True
1213,0.29600000000000004,Fail,20.63300378,mIVSCC-MET,0.6177017929999999,True
1219,0.563,Fail,10.84148011,mIVSCC-MET,0.833570003,True
1331,0.304,Fail,34.92435251,mIVSCC-MET,0.99119113,True
1356,0.35200000000000004,Fail,6.3655947920000004,mIVSCC-MET,0.71090667,True
1362,0.371,Fail,24.333045499999997,mIVSCC-MET,0.86945831,True
1430,0.43700000000000006,Fail,12.71740929,mIVSCC-MET,0.7809311090000001,True
1461,0.314,Fail,29.06682273,mIVSCC-MET,0.723273053,True
1509,0.645,Fail,199.6971265,mIVSCC-MET,0.967511995,True
