,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
0,0.511706703,Pass,21.33,T301x,0.380673694,False
1,0.242,Fail,26.15842484,mIVSCC-MET,0.717450047,True
2,0.682416026,Pass,12.945,T301x,0.506820183,True
3,0.72569879,Pass,13.335,T301x,0.9043252829999999,True
4,0.491,Pass,11.14088489,mIVSCC-METx,0.853234653,True
5,0.62,Pass,14.94899698,mIVSCC-MET,0.9066029390000001,True
6,0.773,Pass,8.353899509,mIVSCC-MET,0.934480207,True
7,0.527,Pass,21.41632675,mIVSCC-MET,0.852528792,True
8,0.609,Pass,6.9938516260000005,mIVSCC-MET,0.901146052,True
9,0.42700000000000005,Pass,21.67011783,mIVSCC-MET,0.847396835,True
10,0.773,Pass,19.58539103,mIVSCC-MET,0.971247953,True
11,0.7240000000000001,Pass,14.99663679,mIVSCC-MET,0.9403669859999999,True
12,0.636,Pass,18.00273965,mIVSCC-MET,0.943339239,True
13,0.708,Pass,14.48443919,mIVSCC-MET,0.872355787,True
14,0.467,Pass,6.51237101,mIVSCC-MET,0.8264233209999999,True
15,0.74,Pass,28.65151877,mIVSCC-MET,1.067185075,True
16,0.599,Pass,11.92228481,mIVSCC-MET,0.802510669,True
17,0.574,Pass,13.44919958,mIVSCC-METx,0.8884149440000001,True
18,0.695,Pass,6.793033385,mIVSCC-MET,0.994531466,True
19,0.483,Pass,25.90088665,mIVSCC-MET,0.972896568,True
20,0.62,Pass,16.34056277,mIVSCC-METx,0.844419265,True
21,0.604,Pass,9.906890443,mIVSCC-MET,0.888525234,True
22,0.696974463,Pass,28.5,T301x,0.865926407,True
23,0.7607762159999999,Pass,18.225,T301x,0.9528316109999999,True
24,0.506,Pass,13.28659416,mIVSCC-METx,0.837829493,True
25,0.423,Pass,29.79676193,mIVSCC-MET,0.436973116,True
26,0.239366516,Pass,8.6745,T301x,0.76281442,True
27,0.642050391,Pass,4.7010000000000005,T301x,0.728808131,True
28,0.8143804179999999,Pass,2.9415,T301x,0.76248597,True
29,0.7623947609999999,Pass,3.207,T301x,0.645678069,True
30,0.7667885320000001,Pass,7.7955,T301x,0.9034272859999999,True
31,0.705,Pass,10.00444786,mIVSCC-MET,0.883916422,True
32,0.718,Pass,4.973206369,mIVSCC-MET,0.7228506259999999,True
33,0.752,Pass,7.066391444,mIVSCC-MET,0.79463878,True
34,0.73,Pass,14.68477112,mIVSCC-MET,0.8353895259999999,True
35,0.642,Pass,14.21348725,mIVSCC-MET,0.7812430640000001,True
36,0.718,Pass,7.976101352000001,mIVSCC-MET,0.8946534540000001,True
37,0.72,Pass,14.44946342,mIVSCC-MET,0.751448717,True
38,0.6609999999999999,Pass,14.09201501,mIVSCC-MET,0.877273904,True
39,0.655,Pass,15.38877691,mIVSCC-MET,0.876131456,True
40,0.47100000000000003,Pass,9.245463505,mIVSCC-MET,0.741649697,True
41,0.6970000000000001,Pass,27.09897461,mIVSCC-MET,0.704667225,True
42,0.535,Pass,19.01059543,mIVSCC-MET,0.7809699940000001,True
43,0.506,Pass,8.832930731,mIVSCC-MET,0.8198750929999999,True
44,0.994367255,Pass,11.9835,T301x,0.952218947,True
45,0.829580988,Pass,9.594,T301x,0.856747925,True
46,0.7974220240000001,Pass,9.426,T301x,0.942375785,True
47,0.881133603,Pass,9.2625,T301x,0.853839916,True
48,0.434355582,Pass,18.69,T301x,0.818223334,True
49,0.7975355540000001,Pass,8.325,T301x,0.752541648,True
50,0.508,Pass,5.348015791,mIVSCC-MET,0.720551064,True
51,0.778,Pass,13.34790339,mIVSCC-MET,0.903961455,True
52,0.7490000000000001,Pass,13.80132985,mIVSCC-MET,0.8587386090000001,True
53,0.703,Pass,10.36391099,mIVSCC-MET,0.71269226,True
54,0.516,Pass,8.226181967,mIVSCC-MET,0.7990067120000001,True
55,0.784817619,Pass,19.74,T301x,0.574694355,True
56,0.33399999999999996,Pass,19.2629185,mIVSCC-MET,0.563507301,True
57,0.63,Pass,6.603454986,mIVSCC-MET,0.7146982390000001,True
58,0.634,Pass,8.877774719,mIVSCC-MET,0.807663674,True
59,0.56,Pass,17.10929559,mIVSCC-MET,0.833349043,True
60,0.75,Pass,14.74231565,mIVSCC-MET,0.805363706,True
61,0.7559999999999999,Pass,22.02877573,mIVSCC-MET,0.795286065,True
62,0.718,Pass,6.746358046,mIVSCC-MET,0.8840938840000001,True
63,0.77,Pass,11.40156434,mIVSCC-MET,0.8666854409999999,True
64,0.642,Pass,19.63861307,mIVSCC-MET,0.87249586,True
65,0.392,Pass,9.537161107000001,mIVSCC-MET,0.796777077,True
66,0.613,Pass,12.91901245,mIVSCC-MET,0.799091775,True
67,0.642,Pass,20.96966155,mIVSCC-MET,0.935928889,True
68,0.657,Pass,9.527093069,mIVSCC-MET,0.614747991,True
69,0.483,Pass,12.5516795,mIVSCC-MET,0.887037615,True
70,0.72,Pass,13.71008337,mIVSCC-MET,0.718717446,True
71,0.5479999999999999,Pass,8.676939949,mIVSCC-MET,0.754611771,True
72,0.342,Pass,29.95221007,mIVSCC-MET,0.872902649,True
73,0.519,Pass,34.31709627,mIVSCC-MET,0.794971137,True
74,0.677,Pass,13.91232402,mIVSCC-MET,0.774570118,True
75,0.6609999999999999,Pass,5.765845649,mIVSCC-MET,0.85967901,True
76,0.624,Pass,14.174201,mIVSCC-MET,0.910473535,True
77,0.488,Pass,10.79753346,mIVSCC-MET,0.717814666,True
78,0.642,Pass,15.87217118,mIVSCC-MET,0.933976512,True
79,0.593,Pass,11.23952503,mIVSCC-MET,0.769979599,True
80,0.45899999999999996,Pass,10.54475411,mIVSCC-MET,0.731484148,True
81,0.6940000000000001,Pass,14.48857832,mIVSCC-MET,0.766005293,True
82,0.55,Pass,14.57367947,mIVSCC-MET,0.7565031329999999,True
83,0.617,Pass,9.331836405,mIVSCC-MET,0.7953337559999999,True
84,0.637,Pass,7.878326745,mIVSCC-MET,0.695099317,True
85,0.56,Pass,6.2740496189999995,mIVSCC-MET,0.577617911,True
86,0.848,Pass,21.13063441,mIVSCC-MET,0.823439893,True
87,0.7709999999999999,Pass,10.66462482,mIVSCC-MET,0.809649869,True
88,0.652,Pass,14.30244782,mIVSCC-MET,0.8725849809999999,True
89,0.705,Pass,12.66707239,mIVSCC-MET,0.750583595,True
