date,organism_name,name,extraction.endPipetteR,extraction.postPatch,rigOperator,status,roi_major,roi_minor,container
2017-10-02 10:46:00 -0700,Mouse,Oxtr-T2A-Cre;Ai14-351467.03.01.01,,nucleus_present,lisak,SUCCESS (high confidence),VISp,layer 2/3,P9S4_171002_401_A01
2017-10-02 10:54:00 -0700,Mouse,Oxtr-T2A-Cre;Ai14-351467.05.02.02,,nucleus_present,lindsayn,SUCCESS (high confidence),VISp,layer 5,P8S4_171002_352_A01
2017-10-02 10:54:00 -0700,Mouse,Oxtr-T2A-Cre;Ai14-351467.05.02.03,,nucleus_absent,lindsayn,SUCCESS (high confidence),VISp,layer 5,P8S4_171002_353_A01
2017-10-02 10:54:00 -0700,Mouse,Oxtr-T2A-Cre;Ai14-351467.05.02.01,,nucleus_present,lindsayn,SUCCESS (high confidence),VISp,layer 5,P8S4_171002_351_A01
2017-10-02 11:30:00 -0700,Mouse,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-350934.04.01.01,,nucleus_present,rustym,SUCCESS (high confidence),VISp,layer 4,P2S4_171002_051_A01
2017-10-02 11:30:00 -0700,Mouse,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-350934.04.01.02,,nucleus_present,rustym,SUCCESS (high confidence),VISp,layer 2/3,P2S4_171002_052_A01
2017-10-02 13:27:00 -0700,Mouse,Gad2-IRES-Cre;Ai14-350672.06.02.01,10.2,nucleus_absent,ramr,SUCCESS,VISp,layer 4,PAS4_171002_451_A01
2017-10-02 13:40:00 -0700,Mouse,Chrna2-Cre_OE25;Ai14-351067.04.02.02,1400.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 5,P8S4_171002_355_A01
2017-10-02 13:40:00 -0700,Mouse,Chrna2-Cre_OE25;Ai14-351067.04.02.01,1100.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 5,P8S4_171002_354_A01
2017-10-02 14:10:00 -0700,Mouse,Gad2-IRES-Cre;Ai14-350672.03.01.01,1000.0,nucleus_present,lisak,SUCCESS,VISp,layer 2/3,P9S4_171002_402_A01
2017-10-02 14:11:00 -0700,Mouse,Chrna2-Cre_OE25;Ai14-351067.04.01.04,40.0,nucleus_absent,rustym,SUCCESS,VISp,layer 5,P2S4_171002_056_A01
2017-10-02 14:11:00 -0700,Mouse,Chrna2-Cre_OE25;Ai14-351067.04.01.02,1000.0,nucleus_present,rustym,SUCCESS,VISp,layer 5,P2S4_171002_054_A01
2017-10-02 14:11:00 -0700,Mouse,Chrna2-Cre_OE25;Ai14-351067.04.01.03,1000.0,nucleus_present,rustym,SUCCESS,VISp,layer 5,P2S4_171002_055_A01
2017-10-02 14:11:00 -0700,Mouse,Chrna2-Cre_OE25;Ai14-351067.04.01.01,10.0,nucleus_absent,rustym,SUCCESS,VISp,layer 4,P2S4_171002_053_A01
