cell_name_label,cell_specimen_project_label,sample_id,topLeaf_label,subclass_label,broad_class_label,Tree_call_label,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
Oxtr-T2A-Cre;Pvalb-T2A-FlpO;Ai65-360187.04.02.01,mIVSCC-MET,P8S4_171122_353_A01,122_DG,DG,Glutamatergic,Core,0.38792898,False
Oxtr-T2A-Cre;Ai14-359344.04.01.01,mIVSCC-MET,P2S4_171121_051_A01,124_DG,DG,Glutamatergic,Core,0.481428481,True
Vip-IRES-Cre;Ai14-359509.04.02.02,mIVSCC-MET,P8S4_171122_352_A01,125_DG,DG,Glutamatergic,Core,0.5661674529999999,True
Ndnf-IRES2-dgCre;Ai14-361703.04.01.02,mIVSCC-MET,P9S4_171201_407_A01,125_DG,DG,Glutamatergic,Core,0.5892143120000001,True
Rbp4-Cre_KL100;Ai14-362155.05.01.01,mIVSCC-MET,P9S4_171201_403_A01,125_DG,DG,Glutamatergic,I1,0.7626389720000001,True
Rbp4-Cre_KL100;Ai14-362155.05.02.02,mIVSCC-MET,PAS4_171201_452_A01,125_DG,DG,Glutamatergic,I1,0.705088663,True
Vip-IRES-Cre;Ai14-359509.04.02.01,mIVSCC-MET,P8S4_171122_351_A01,125_DG,DG,Glutamatergic,I1,0.53255705,True
Ctgf-T2A-dgCre;Ai14-495724.02.02.01,mIVSCC-MET,PFS4_191108_703_A01,136_L2/3 IT PPP,L2/3 IT PPP,Glutamatergic,I1,0.993108557,True
Ntsr1-Cre_GN220;Ai14-482444.04.01.01,mIVSCC-MET,PFS4_190822_701_A01,172_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,0.928634636,True
Oxtr-T2A-Cre;Ai14-408887.04.02.04,mIVSCC-MET,P8S4_180820_362_A01,178_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,Core,0.765951396,True
Oxtr-T2A-Cre;Ai14-484067.04.01.02,mIVSCC-MET,P1S4_190830_002_A01,178_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,0.8955835109999999,True
Vip-IRES-Cre;Ai14(IVSCC)-253380.04.01.02,T301x,P1S4_160621_252_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,Core,0.8782361340000001,True
Pvalb-IRES-Cre;Ai14-488440.05.01.03,mIVSCC-MET,P1S4_190924_003_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,Core,1.088051945,True
C57BL6J-436184.05.03.01,mIVSCC-METx,PXS4_190107_354_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,Core,1.031020933,True
Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-462536-Ai65.04.01.02,mIVSCC-MET,P1S4_190514_001_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,Core,1.109338183,True
Slc32a1-IRES-Cre;Ai14-476712.04.01.02,mIVSCC-MET,P1S4_190725_002_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.077172154,True
Ndnf-IRES2-dgCre;Ai14-470195.03.01.01,mIVSCC-MET,PES4_190618_651_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.001322219,True
Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-497491-Ai65.03.01.01,mIVSCC-MET,P8S4_191118_357_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.100977473,True
Oxtr-T2A-Cre;Ai14-408888.04.02.06,mIVSCC-MET,PBS4_180824_513_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.098663421,True
Oxtr-T2A-Cre;Ai14-484067.06.02.01,mIVSCC-MET,PFS4_190830_702_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.053780091,True
Ai14-Homo-497712.03.01.01,hIVSCC-METx,PXS4_191125_301_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.200793152,True
Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-462539-Ai65_.04.02.01,mIVSCC-MET,PES4_190516_651_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.049329618,True
Slc17a6-IRES-Cre;Ai14-490922.04.01.01,mIVSCC-MET,PFS4_191008_701_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.1234203790000001,True
Ntsr1-Cre_GN220;Ai14-485994.05.02.01,mIVSCC-MET,PAS4_190910_451_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.096518433,True
Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-462536-Ai65.06.01.02,mIVSCC-MET,PFS4_190514_702_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,0.974522413,True
Pvalb-IRES-Cre;Ai14-406666.03.01.01,mIVSCC-MET,P1S4_180808_001_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.074992757,True
Htr3a-Cre_NO152;Ai14-502372.09.06.04,mIVSCC-MET,PFS4_191220_704_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.238919679,True
Gad2-IRES-Cre;Ai14-481681.04.01.02,mIVSCC-MET,PFS4_190822_704_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.2402038359999998,True
Slc17a6-IRES-Cre;Ai14-482435.04.01.02,mIVSCC-MET,PFS4_190820_703_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.038694737,True
Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-491001-Ai65.05.02.01,mIVSCC-MET,PAS4_191007_457_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.157621676,True
Slc17a6-IRES-Cre;Ai14-490922.04.02.02,mIVSCC-MET,PES4_191008_652_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.009265672,True
Slc32a1-IRES-Cre;Ai14-477504.04.01.01,mIVSCC-MET,P1S4_190730_001_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,0.853046663,True
Slc17a6-IRES-Cre;Ai14-376995.02.02.02,mIVSCC-MET,P2S4_180226_052_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,0.8353674179999999,True
Glt25d2-Cre_NF107;Ai14-442297.04.02.02,mIVSCC-MET,PFS4_190214_702_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.141920075,True
Pvalb-IRES-Cre;Ai14-488440.04.01.03,mIVSCC-MET,PFS4_190924_703_A01,182_L2/3 IT CTX,L2/3 IT CTX,Glutamatergic,I1,1.048721301,True
Sncg-IRES2-FlpO-neo;Ai65F-505713.10.02.03,mIVSCC-MET,P8S4_200110_357_A01,186_L2 IT RSP-ACA,L2 IT RSP-ACA,Glutamatergic,Core,1.024628187,True
Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.01.01.01,mIVSCC-MET,PES4_200114_656_A01,186_L2 IT RSP-ACA,L2 IT RSP-ACA,Glutamatergic,Core,0.872588556,True
Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.03.02.01,mIVSCC-MET,P8S4_200114_354_A01,186_L2 IT RSP-ACA,L2 IT RSP-ACA,Glutamatergic,Core,0.831002062,True
Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.03.02.02,mIVSCC-MET,P8S4_200114_355_A01,186_L2 IT RSP-ACA,L2 IT RSP-ACA,Glutamatergic,I1,0.880757627,True
Rorb-IRES2-Cre-D;Ai14-251322.03.01.05,T301x,P1S4_160623_282_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,0.798528619,True
Chat-IRES-Cre;Ai14-261748.05.02.03,T301x,P1S4_160801_543_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,1.014488622,True
Nr5a1-Cre;Ai14-317501.05.02.01,T301x,P1S4_170505_006_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,0.9056867000000001,True
Cux2-CreERT2;Ai14-315357.03.01.03,T301x,P1S4_170511_003_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,0.7365909820000001,True
Cux2-CreERT2;Ai14-315357.05.01.02,T301x,P1S4_170511_009_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,0.6099477320000001,True
Slc32a1-IRES-Cre;Ai14-486249.04.01.02,mIVSCC-MET,P1S4_190919_002_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,0.999161768,True
Rorb-IRES2-Cre-neo;Ai14-315667.03.02.06,T301x,P2S4_170502_061_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,0.771002306,True
Scnn1a-Tg2-Cre;Ai14-316319.04.02.03,T301x,P2S4_170503_057_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,1.219840249,True
Gad2-IRES-Cre;Ai14-318382.03.02.03,T301x,P2S4_170516_053_A01,188_L4/5 IT CTX,L4/5 IT CTX,Glutamatergic,Core,0.74593558,True
