date,sample_id,Data,postPatch,percent_cdna_longer_than_400bp,amplified_quantity_ng,Genes.Detected.CPM,Tree_call,marker_sum_norm_label,Total_time,Total_time_min,Total_time_bins
171002,P9S4_171002_405_A01,Production,nucleus_absent,0.387,3.4473942369999997,2212,PoorQ,0.426113862744117,325.0,5.416666666666667,5-10
171002,P8S4_171002_356_A01,Production,nucleus_present,0.672,11.64571676,6965,Core,0.8723120690197521,578.0,9.633333333333333,5-10
171002,P8S4_171002_357_A01,Production,nucleus_absent,0.319,6.906474932,3222,PoorQ,0.576443043768902,826.0,13.766666666666667,10-15
171002,P2S4_171002_056_A01,Production,nucleus_absent,0.27399999999999997,11.07791346,4070,PoorQ,0.33015769935248496,735.0,12.25,10-15
171002,P9S4_171002_403_A01,Production,nucleus_absent,0.33399999999999996,3.7843080330000003,3064,PoorQ,0.31486277149987796,385.0,6.416666666666667,5-10
171002,P9S4_171002_402_A01,Production,nucleus_present,0.7509999999999999,11.1256483,6613,Core,0.97484128102338,437.0,7.283333333333333,5-10
171002,PAS4_171002_451_A01,Production,nucleus_absent,0.442,5.488300054,4934,PoorQ,0.543551274653981,712.0,11.866666666666667,10-15
171002,P9S4_171002_404_A01,Production,nucleus_present,0.479,3.64262608,3174,PoorQ,0.267157786152451,390.0,6.5,5-10
171002,P2S4_171002_053_A01,Production,nucleus_absent,0.486,2.5485074880000003,2747,PoorQ,0.407651917683248,553.0,9.216666666666667,5-10
171002,P2S4_171002_054_A01,Production,nucleus_present,0.618,5.740796331,4897,Core,0.584631620789353,501.0,8.35,5-10
171002,P2S4_171002_055_A01,Production,nucleus_present,0.715,15.4014261,7375,Core,0.966440846986625,404.0,6.733333333333333,5-10
171002,P8S4_171002_354_A01,Production,nucleus_present,0.43,12.07122822,5026,Core,1.06212042067519,569.0,9.483333333333333,5-10
171002,P8S4_171002_355_A01,Production,nucleus_present,0.433,20.74563011,6587,I2,0.788812333600959,637.0,10.616666666666667,10-15
171002,P9S4_171002_406_A01,Production,nucleus_absent,0.436,4.6736531160000006,3560,PoorQ,0.286005154691519,457.0,7.616666666666666,5-10
171003,P8S4_171003_355_A01,Production,nucleus_absent,0.46399999999999997,6.409989642999999,4313,PoorQ,0.58208161626889,894.0,14.9,10-15
171003,P8S4_171003_352_A01,Production,nucleus_absent,0.43,5.574020624,3278,PoorQ,0.377056065067775,776.0,12.933333333333334,10-15
171003,PAS4_171003_452_A01,Production,nucleus_present,0.569,7.80057485,5743,Core,0.718229111645974,750.0,12.5,10-15
171003,P2S4_171003_059_A01,Production,nucleus_present,0.637,8.737589042,5457,Core,0.681878472946964,535.0,8.916666666666666,5-10
171003,P9S4_171003_401_A01,Production,nucleus_present,0.698,27.01827484,9495,Core,0.7931040366677029,385.0,6.416666666666667,5-10
171003,P2S4_171003_058_A01,Production,nucleus_present,0.428,14.45462818,5492,Core,0.6205303407329399,440.0,7.333333333333333,5-10
171003,P2S4_171003_062_A01,Production,nucleus_present,0.446,7.573062214,4306,PoorQ,0.508558551243966,417.0,6.95,5-10
171003,P2S4_171003_060_A01,Production,nucleus_absent,0.45399999999999996,2.571622226,2816,PoorQ,0.319021724069107,502.0,8.366666666666667,5-10
171003,P9S4_171003_407_A01,Production,nucleus_present,0.584,15.22014416,6466,I1,0.939826110975062,475.0,7.916666666666667,5-10
171003,PBS4_171003_504_A01,Production,nucleus_present,0.452,11.65804248,2500,PoorQ,0.242266110692953,636.0,10.6,10-15
171003,PAS4_171003_451_A01,Production,nucleus_present,0.534,11.0863545,5457,I2,1.21276957680131,869.0,14.483333333333333,10-15
171003,P9S4_171003_411_A01,Production,nucleus_present,0.28,17.84459128,6331,Core,0.668745655337369,561.0,9.35,5-10
