name,id,container_date,id,specimen_id,rheobase_sweep_id,thumbnail_sweep_id,vrest,ri,sag,vm_for_sag,tau,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,upstroke_downstroke_ratio_long_square,peak_v_ramp,peak_t_ramp,peak_v_short_square,peak_t_short_square,peak_v_long_square,peak_t_long_square,trough_v_ramp,trough_t_ramp,trough_v_short_square,trough_t_short_square,trough_v_long_square,trough_t_long_square,fast_trough_v_ramp,fast_trough_t_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_t_long_square,slow_trough_v_ramp,slow_trough_t_ramp,slow_trough_v_short_square,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_t_long_square,threshold_v_ramp,threshold_v_short_square,threshold_v_long_square,threshold_i_ramp,threshold_i_short_square,threshold_i_long_square,threshold_t_ramp,threshold_t_short_square,threshold_t_long_square,adaptation,latency,avg_isi,f_i_curve_slope,has_burst,has_pause,has_delay,created_at,updated_at
Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-378108.04.02.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-378108.03.02.01,861196131,180307,861196131,670556259,861145073,861145082,-74.99780579,113.7500033,0.019812709,-88.03125,6.881524379,4.056546685,2.485276426,3.832437137,27,8.72676,26.15625,0.50251,25.875,0.82192,-52.28125,8.73622,-75.484375,0.68088,-50.84375,0.83116,-50.75,8.731,-54.484375,0.50575,-48.96875,0.82612,-52.28125,8.73622,,,-50.84375,0.83116,-36.34375,-40.984375,-35.1875,205.75,700,200,8.72612,0.5021,0.82126,0.011573261,0.05272,58.57125,0.180714286,,,,31:47.5,31:47.5
Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-378108.03.01.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-378108.04.02.02,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-378387.03.01.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-378108.03.02.02,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-378108.03.01.02,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-378387.04.01.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vip-IRES-Cre;Ai14-382261.04.02.01,,180402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrna2-Cre_OE25;Ai14-379134.03.01.01,,180312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrna2-Cre_OE25;Ai14-379134.05.01.01,,180312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrna2-Cre_OE25;Ai14-379134.05.01.02,,180312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-378387.05.01.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndnf-IRES2-dgCre;Ai14-379873.06.02.01,,180312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndnf-IRES2-dgCre;Ai14-379873.05.02.01,,180312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-378262.03.02.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-378262.06.02.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vip-IRES-Cre;Ai14-377304.05.02.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-378262.03.02.02,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vip-IRES-Cre;Ai14-377304.05.01.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-378262.03.01.01,,180307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrna2-Cre_OE25;Ai14-379136.05.02.02,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pvalb-IRES-Cre;Ai14-417268.04.02.03,905786394,181008,905786394,761409397,905739982,905740008,-79.49910906,66.0938248,0.018387888,-84.58750153,5.241717588,1.657916836,1.784794627,1.820493666,13.7109375,16.134655,17.25625038,0.50336,14.86250019,0.64596,-54.85468674,16.137695,-79.71875,0.78886,-55.26250076,0.64964,-53.80937576,16.1362,-66.14374542,0.50686,-53.77499771,0.6475,-54.85468674,16.137695,,,,,-30.89999962,-43.13750076,-33.41875076,390.9375,980,320,16.134295,0.50306,0.64562,0.027327968,0.05054,43.984,0.515517241,,,,11:02.3,06:39.5
Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-398664.02.01.02,905866838,180706,905866838,717392579,905820324,905820324,-61.05598704,167.187497,0.13780947,-77.09375,19.97653629,1.945959615,2.257091737,2.296194251,44.69791794,9.247493333,48.5625,0.503284,49.78125,0.5728,-38.80208206,9.248873333,-61.83124924,0.908468,-47.21875,0.57416,-38.66666794,9.248773333,-49.0875,0.504516,-47,0.574,-38.08333333,9.26014,,,-44.5625,0.58852,-22.125,-33.90000153,-33.09375,218.7916718,800,120,9.24702,0.502916,0.5724,,0.0724,151.38,0.200892857,,,,54:38.2,54:38.2
Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-453902.03.02.01,847090988,190405,847090988,847083836,847089444,847089456,-64.95469319,282.6874852,0.164969131,-99.625,38.68960711,1.872776378,1.928566552,1.940626782,26.38749886,2.452386667,27.15625,0.50374,27.21249962,0.65078,-49.10833359,2.45382,-65.44374847,1.163,-50.5,0.65214,-49.05833054,2.453726667,-52.36874771,0.505033333,-50.45000076,0.6521,-47.58333206,2.476426667,,,,,-33.4458313,-37.79166794,-35.56874847,48.875,570,50,2.451926667,0.503326667,0.65032,0.035852079,0.04436,56.8825,0.375,,,,54:57.4,25:29.4
Gad2-IRES-Cre;Ai14-383745.05.01.03,861259283,180413,861259283,683899155,861208128,861208136,-63.11207104,337.500006,0.177231923,-102.59375,29.15514966,2.337023472,2.547464346,2.696758449,36.546875,3.10529,39.24375153,0.503436,40,0.58528,-54.640625,3.1067,-63.3,1.218576,-56.875,0.58666,-54.484375,3.10662,-58.5,0.504676,-56.8125,0.5866,-51.328125,3.12185,,,,,-37.328125,-43.03125,-42.03125,65.1875,340,40,3.10484,0.503068,0.58488,0.116454722,0.02132,78.04833333,0.3,,,,46:51.9,17:23.1
Nr5a1-Cre;Ai14-380240.03.01.01,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Th-Cre_FI172;Ai14-382502.03.02.01,861221176,180402,861221176,679300054,861165413,861165420,-54.58956655,344.8437452,0.088588461,-92.53125,14.85898683,0.749091471,1.461888603,1.212272511,-3.875,4.5101,6,0.50396,4.4375,0.5446,-42.28125,4.51186,-55.09375,1.07494,-51.375,0.5465,-42.1875,4.51176,-54.65625,0.5058,-51.21875,0.5462,,,,,,,-24.78125,-36.53125,-31.0625,100.25,200,50,4.5094,0.50348,0.54406,-0.001097371,0.00936,12.96,1.1,,,,37:47.1,18:17.9
Chrna2-Cre_OE25;Ai14-379136.03.02.01,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr5a1-Cre;Ai14-380240.03.01.02,,180314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
