acsfProductionDate,approach.cellHealth,approach.creCell,approach.depth,approach.pilotName,approach.pilotTest01,approach.pilotTest04,approach.pilotTest05,approach.pilotTestYN,approach.sliceHealth,attempt,badSweeps,blankFillDate,container,date,depth,experimentType,extraction.endPipetteR,extraction.extractionNotes,extraction.extractionObservations,extraction.nucleus,extraction.pilotNameExtra,extraction.postPatch,extraction.pressureApplied,extraction.retractionPressureApplied,extraction.sampleObservations,extraction.timeChannelRecordingEnd,extraction.timeEnd,extraction.timeExtractionEnd,extraction.timeExtractionStart,extraction.timeRetractionEnd,extraction.timeRetractionStart,extraction.tubeID,failureCause,failureNotes,flipped,formVersion,freeFailureNotes,internalFillDate,internalSolution.concentrationBiocytin,internalSolution.concentrationRnaseInhibitor,internalSolution.version,internalSolution.volume,jem_created,limsSpecName,pipetteSpecName,qcNotes,recording.accessR,recording.humanCellTypePrediction,recording.membraneV,recording.pipetteR,recording.rheobase,recording.timeStart,recording.timeWholeCellStart,rigNumber,rigOperator,roi,sliceNotes,sliceQuality,status,successNotes,wellID,roi_major,roi_minor,jem_date_dt,jem_date_m
2017-10-02,,Cre+,,None,,,,,3,3.0,,2017-09-25,NA,2017-10-03 12:23:00 -0700,,,200,,,no,,nucleus_absent,-35.0,-30.0,,,,14:39:59 -0700,14:39:09 -0700,14:40:34 -0700,14:39:42 -0700,,,,Yes,2.0.0,,2017-09-29,,,,,2017-10-03,Chrna2-Cre_OE25;Ai14-351070.04.01,,60pA/300pA,,,,5.5,,14:26:39 -0700,14:29:15 -0700,3,dijonh,VISp5,,,SUCCESS,,Ephys_171002_01_D01_M,VISp,layer 5,2017-10-03,2017-10
2017-10-13,,Cre+,,None,,,,,3,1.0,"8,19",2017-09-25,NA,2017-10-16 15:52:00 -0700,,,,,,,,,,,,,,,,,,,,,Yes,2.0.0,,2017-09-29,,,,,2017-10-16,Chrna2-Cre_OE25;Ai14-355016.05.01,,,,,,3,,16:09:04 -0700,16:11:00 -0700,5,dijonh,VISp4,,,SUCCESS,,Ephys_171016_01_C02_M,VISp,layer 4,2017-10-16,2017-10
2018-05-15,3,Cre+,,None,,,,,2,3.0,,2018-04-26,NA,2018-05-16 13:10:55 -0700,0,,2000.0,,"Cell Dimmed,Cell Disappeared",no,,nucleus_present,-20.0,-20.0,,,,13:42:31 -0700,13:42:16 -0700,13:43:08 -0700,,,,,Yes,2.0.3,,2018-04-08,,,,,2018-05-16,Slc17a8-iCre;Ai14-387906.03.01,,,,,,4.1,,13:31:28 -0700,13:31:56 -0700,4,kristenh,VISp5,working outside WSE,Good,SUCCESS,,,VISp,layer 5,2018-05-16,2018-05
2018-05-15,3,Cre+,,None,,,,,2,5.0,,2018-04-26,NA,2018-05-16 13:10:55 -0700,0,,4.0,,Cell Dimmed,no,,nucleus_absent,-20.0,-20.0,,,,14:01:30 -0700,14:01:13 -0700,14:02:12 -0700,,,,,Yes,2.0.3,,2018-04-08,,,,,2018-05-16,Slc17a8-iCre;Ai14-387906.03.01,,,,,,4.0,,13:57:00 -0700,13:57:42 -0700,4,kristenh,VISp5,working outside WSE,Good,SUCCESS,,,VISp,layer 5,2018-05-16,2018-05
2018-06-19,2,Cre+,,None,,,,,3,4.0,,2018-05-24,NA,2018-06-20 09:33:11 -0700,55.7,,9.4,No Seal,Cell Dimmed,no,,nucleus_absent,-20.7,-20.7,,,,10:35:19 -0700,10:34:30 -0700,10:38:17 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2019-02-26,Sst-IRES-Cre;Ai14-395722.04.01,,,,,,4.6,,10:21:14 -0700,10:22:42 -0700,6,lisak,VISp4,#Health,Good,SUCCESS,,,VISp,layer 4,2018-06-20,2018-06
2018-06-19,4,Cre+,,None,,,,,3,1.0,,2018-05-24,NA,2018-06-20 11:21:44 -0700,39.5,,5,,,no,,nucleus_absent,-30.0,-35.0,,,,11:51:45 -0700,11:50:57 -0700,11:55:52 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-20,Pvalb-T2A-CreERT2;Ai14-396260.03.02,,,,,,4.3,,11:34:24 -0700,11:37:10 -0700,2,rustym,VISp4,#Schedule / CameraViewer crashed.  Some darkening of tissue but no WOD.,Good,SUCCESS,,,VISp,layer 4,2018-06-20,2018-06
2018-06-19,3,Cre+,,None,,,,,2,1.0,,2018-05-24,NA,2018-06-20 16:30:58 -0700,82,,7.0,,,no,,nucleus_absent,-40.0,-40.0,,,,16:57:26 -0700,16:55:38 -0700,16:57:26 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-20,Slc17a8-iCre;Ai14-395797.03.01,,,,,,4.0,,16:40:12 -0700,16:41:16 -0700,1,dijonh,VISp4,#Health,Good,SUCCESS,,,VISp,layer 4,2018-06-20,2018-06
2018-06-20,3,None,,None,,,,,3,4.0,,2018-05-24,NA,2018-06-21 16:45:58 -0700,70.9,,6.7,"Alexa fill leaking
No Seal - discarded sample",,no,,nucleus_absent,-40.0,-40.0,,,,17:52:35 -0700,17:51:34 -0700,17:54:38 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-21,H18.26.403.11.02.01,,1% Biocytin,,Pyramidal,,3.6,,17:41:04 -0700,17:42:03 -0700,6,lisak,FCx3,,Good,SUCCESS,,,FCx,layer 3,2018-06-21,2018-06
2018-06-20,2,None,,None,,,,,2,5.0,15-17,2018-05-24,NA,2018-06-21 17:00:10 -0700,58,,5.0,,Cell Swelled,not_intentionally,,nucleus_absent,-53.0,-53.0,,,,18:43:36 -0700,18:42:12 -0700,18:43:36 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-21,H18.26.403.11.06.01,,,,,,4.0,,18:29:35 -0700,18:30:52 -0700,1,dijonh,FCx3,,Good,SUCCESS,,,FCx,layer 3,2018-06-21,2018-06
2018-06-20,4,None,,None,,,,,2,11.0,,2018-05-24,NA,2018-06-21 17:00:10 -0700,75,,0.0,,Cell Swelled,no,,nucleus_present,-53.0,-53.0,,,,20:32:09 -0700,20:26:48 -0700,20:32:09 -0700,,,,,Yes,2.0.3,,2018-04-30,,,,,2018-06-21,H18.26.403.11.06.01,,,,,,3.5,,20:15:43 -0700,20:15:49 -0700,1,dijonh,FCx3,,Good,SUCCESS,,,FCx,layer 3,2018-06-21,2018-06
