,sample_id,cell_name,roi,cDNA quality (%>400 bp),RNA Amp Pass/Fail,Amplified content (ng),Genes detected,cell_specimen_project,Morpho call(63x),Imaging status,Normalized marker sum,NMS Pass/Fail,seurat_cluster_label,Seurat prediction score,broad_class_label,subclass_label,Tree_call,region,layer,imaging_recon
885,P1S4_190122_002_A01,H19.03.302.11.13.01.02,TCx_L4,63,Pass,24.791452,13343,hIVSCC-MET,Go,Ready for dendrite trace,1.079554128,Pass,Exc L3-5 RORB ESR1,0.992100648,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
886,P1S4_190321_004_A01,H19.06.351.11.16.01.04,TCx_L4,67.2,Pass,22.41928738,11160,hIVSCC-MET,No Go,,1.125700496,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
887,P1S4_190425_005_A01,H19.03.310.11.05.01.06,FCx_L4,64.3,Pass,10.68758395,8602,hIVSCC-MET,Go,Ready for dendrite trace,0.905431004,Pass,Exc L3-5 RORB ESR1,0.902672458,Glutamatergic neuron,IT (L3-5),Core,FCx,L4,Possible Reconstructions
888,P2S4_190709_053_A01,H19.03.315.11.05.01.03,TCx_L4,56.2,Pass,16.28115615,11685,hIVSCC-MET,Go,Ready for dendrite trace,0.793731246,Pass,Exc L3-5 RORB ESR1,0.923809134,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
891,P8S4_181211_357_A01,H18.06.371.13.06.01.07,TCx_L4,71.3,Pass,14.11070077,11518,hIVSCC-MET,No Go,,0.827571055,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
892,P8S4_190108_360_A01,H19.03.301.11.12.01.03,TCx_L4,62.3,Pass,20.04335957,11732,hIVSCC-MET,Go,Ready for dendrite trace,0.932778963,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
893,P8S4_190122_358_A01,H19.03.302.11.06.01.04,TCx_L4,68.7,Pass,25.37955015,12296,hIVSCC-MET,Go,Ready for dendrite trace,0.983009059,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
894,P8S4_190305_352_A01,H19.03.305.11.10.01.02,TCx_L4,88.8,Pass,31.79630074,13126,hIVSCC-MET,Go,Ready for dendrite trace,1.093432146,Pass,Exc L3-5 RORB ESR1,0.805852157,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
895,P8S4_190321_355_A01,H19.06.351.11.06.01.04,TCx_L4,69,Pass,24.48733001,10901,hIVSCC-MET,No Go,,0.902811753,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
896,P8S4_190425_354_A01,H19.03.310.11.06.02.03,FCx_L4,54,Pass,13.49255207,10276,hIVSCC-MET,No Go,,0.805974662,Pass,Exc L3-5 RORB ESR1,0.708869485,Glutamatergic neuron,IT (L3-5),Core,FCx,L4,Possible Reconstructions
897,P8S4_190514_353_A01,H19.03.311.14.05.01.02,TCx_L4,48.1,Pass,11.97537495,9302,hIVSCC-MET,No Go,,0.870380809,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
898,P8S4_190604_351_A01,H19.03.313.11.13.01.01,TCx_L4,55.4,Pass,24.35983035,11559,hIVSCC-MET,No Go,,0.988901241,Pass,Exc L3-5 RORB ESR1,0.917253221,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
899,P8S4_190709_360_A01,H19.03.315.11.01.01.04,TCx_L4,58.1,Pass,25.14022124,12539,hIVSCC-MET,Go,Ready for dendrite trace,1.089117678,Pass,Exc L3-5 RORB ESR1,0.934527258,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
900,P8S4_190723_360_A01,H19.03.317.11.09.01.04,TCx_L4,65.4,Pass,16.42009878,9903,hIVSCC-MET,Go,Ready for dendrite trace,0.99101854,Pass,Exc L3-5 RORB ESR1,0.99973454,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
901,P9S4_171219_404_A01,H17.03.016.11.10.04,TCx_L4,76.3,Pass,27.79701137,8479,hIVSCC-MET,No Go,,0.779128184,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
902,PAS4_190122_456_A01,H19.03.302.11.14.01.08,TCx_L4,71.1,Pass,16.75200814,12295,hIVSCC-MET,No Go,,0.749940457,Pass,Exc L3-5 RORB ESR1,0.984389889,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
903,PAS4_190123_451_A01,H19.03.302.11.03.01.01,TCx_L4,64.1,Pass,14.22516334,11873,hIVSCC-MET,No Go,,0.896970589,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
904,PAS4_190305_452_A01,H19.03.305.11.05.01.02,TCx_L4,63.8,Pass,23.49865135,11504,hIVSCC-MET,No Go,,1.093492282,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
905,PAS4_190425_456_A01,H19.03.310.11.04.01.05,FCx_L4,56.8,Pass,10.69381837,9537,hIVSCC-MET,No Go,,0.933962741,Pass,Exc L3-5 RORB ESR1,0.607304116,Glutamatergic neuron,IT (L3-5),Core,FCx,L4,Possible Reconstructions
906,PAS4_190723_454_A01,H19.03.317.11.06.01.05,TCx_L4,60.6,Pass,13.81280272,9706,hIVSCC-MET,No Go,,0.921452315,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
907,PAS4_191105_454_A01,H19.03.321.12.04.01.03,TCx_L4,60.3,Pass,16.26668045,12156,hIVSCC-MET,No Go,,0.853412459,Pass,Exc L3-5 RORB ESR1,0.995923514,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
908,PAS4_200121_452_A01,H20.03.302.11.10.01.01,TCx_L4,71.6,Pass,16.63687733,11207,hIVSCC-MET,No Go,,0.898530584,Pass,Exc L3-5 RORB ESR1,1,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
910,PBS4_181120_503_A01,H18.06.368.12.16.01.03,TCx_L4,51.6,Pass,10.18764254,9847,hIVSCC-MET,Go,Ready for dendrite trace,0.963860121,Pass,Exc L3-5 RORB ESR1,0.955893584,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Possible Reconstructions
911,PES4_181023_656_A01,H18.03.318.11.09.01.05,TCx_L4,68.5,Pass,8.4159116,10255,hIVSCC-MET,Go,Deferred,0.730435356,Pass,Exc L3-5 RORB ESR1,0.953272922,Glutamatergic neuron,IT (L3-5),Core,TCx,L4,Failed Reconstructions
